,status_group
30311,non functional
44441,functional
28369,functional
16528,functional
30190,non functional
35952,functional
8249,non functional
27962,functional needs repair
13559,functional
2401,non functional
59125,functional
5387,functional
57552,non functional
7621,functional needs repair
43407,functional
14427,non functional
42037,functional
46556,non functional
51099,functional
38124,functional
25770,non functional
59169,non functional
43282,functional
22776,functional
16826,non functional
44341,non functional
11010,functional needs repair
52101,functional
38421,non functional
26172,non functional
46604,functional
35868,functional
24133,functional
29497,non functional
37494,functional needs repair
7382,functional
18400,functional
43234,non functional
18112,non functional
32208,functional
21864,functional
4764,functional
35745,non functional
29892,non functional
26572,non functional
40106,functional
39496,functional
46768,non functional
44509,functional
36382,functional
38157,functional
32254,functional
7959,functional
38019,non functional
34888,functional
43034,non functional
25475,functional
36748,functional needs repair
8854,functional
47689,functional
4249,functional
22723,functional
57307,functional
47002,non functional
5883,functional
3467,functional needs repair
56884,functional
12766,non functional
9878,functional
12498,functional
40558,functional
27179,non functional
54236,non functional
24706,functional
51594,functional
22565,functional
54500,non functional
12633,non functional
25436,functional
42788,non functional
17746,non functional
34481,functional
38528,functional
54981,functional
42477,functional
11587,non functional
35457,functional
32504,functional
55636,functional
54877,functional
13197,functional
5861,functional
44482,functional
37172,functional
48490,functional
16625,functional
41575,functional
51443,non functional
48544,non functional
19564,functional
5226,non functional
26881,non functional
14110,non functional
25249,functional
48578,non functional
38868,functional
6091,functional
37147,functional
29466,non functional
44474,non functional
15874,functional
2768,non functional
44328,non functional
21759,non functional
36315,non functional
6014,non functional
25291,functional needs repair
55013,non functional
4545,functional
5926,non functional
27801,non functional
27946,functional
27110,functional
58919,functional
44073,non functional
2506,non functional
17634,functional
32931,functional needs repair
23373,functional
21156,non functional
14808,non functional
30244,functional
15527,functional needs repair
52486,functional
21615,functional
57473,non functional
8923,functional
50869,functional
27565,functional
42320,non functional
43063,non functional
4884,functional
59028,non functional
48910,functional
5994,functional
34557,non functional
38934,functional
17951,functional needs repair
28672,non functional
47296,functional
12334,non functional
55207,non functional
46813,functional
33691,non functional
52676,functional
28877,non functional
48612,functional
13519,functional
44555,functional needs repair
17381,non functional
52842,functional needs repair
59175,non functional
57303,functional
53469,non functional
29619,functional
33095,functional
18349,functional
7187,non functional
55337,non functional
12796,functional
50642,functional
5694,non functional
77,functional
51225,functional
4519,functional
49373,functional
33845,functional
11800,non functional
23456,functional
18938,functional
52949,non functional
47009,functional needs repair
40116,functional
23449,functional
53065,functional
3358,functional
18623,functional
25309,functional
56630,functional needs repair
40318,non functional
32748,functional
39863,non functional
43445,non functional
44846,non functional
47816,non functional
1628,functional needs repair
10436,functional
7436,functional needs repair
54316,functional
23036,functional
28864,non functional
25862,non functional
24559,functional
45337,functional
2921,functional
4566,functional needs repair
35847,functional needs repair
11250,functional
38832,functional
36697,non functional
21936,non functional
36396,non functional
10140,non functional
4864,non functional
9100,functional
30498,non functional
57180,non functional
17937,non functional
2891,non functional
41327,non functional
20511,functional
23405,non functional
49170,non functional
26705,non functional
31614,non functional
20488,functional
36530,functional
47586,functional
23030,non functional
50737,functional
25882,functional
11344,non functional
38512,functional
47479,functional needs repair
14994,non functional
25540,non functional
29484,functional needs repair
52554,non functional
55551,non functional
5028,non functional
35385,non functional
9439,non functional
54945,non functional
45921,non functional
18360,functional
23553,non functional
45496,functional needs repair
39541,functional
15177,functional
11948,functional
55305,non functional
54497,functional
17395,functional
28512,functional
26972,non functional
22040,non functional
31190,functional
45137,functional needs repair
4179,functional
56802,non functional
8437,functional
52643,functional
2615,functional
13787,functional
7259,functional
39116,functional needs repair
56233,non functional
12086,functional
5116,functional needs repair
45845,functional
13564,non functional
48670,functional
19170,functional
39722,functional
1875,functional
37665,functional
21019,non functional
22240,non functional
36984,non functional
41367,non functional
21716,non functional
14033,non functional
6772,non functional
48701,non functional
57013,functional
47014,non functional
9277,functional
27574,functional
46830,functional
14628,functional
37916,functional
35990,functional
1835,functional
4822,functional
32597,functional
17198,non functional
44692,functional
14515,functional
56695,non functional
16999,functional
18826,functional needs repair
7555,functional
29520,functional
56129,non functional
36258,functional needs repair
21944,functional
46358,functional
51447,non functional
3174,functional
39112,non functional
5596,functional
14349,functional
56116,functional
24294,functional
46265,functional
23661,functional
34254,non functional
1824,non functional
33580,functional needs repair
4549,functional
15735,non functional
9624,functional
52232,functional
33575,non functional
49109,functional needs repair
56756,non functional
11277,functional
36828,functional
28052,functional
57594,non functional
5218,non functional
31176,non functional
10455,functional
38549,functional
51109,non functional
30344,functional
1943,functional
6407,functional
29365,functional
12128,functional
2705,functional
27944,non functional
12439,functional
4332,functional needs repair
32540,functional
40016,functional
43538,functional
54389,functional
42948,functional
41481,functional
41783,non functional
36158,functional
39552,functional needs repair
20959,functional
57110,non functional
54677,non functional
3149,functional
32295,non functional
5617,non functional
58943,non functional
1861,functional
35784,functional
10333,functional
38168,functional
35499,functional
20053,non functional
19450,non functional
10702,non functional
35490,functional
45418,functional
35820,functional
34291,functional
26328,functional needs repair
9603,functional
46111,functional
20400,functional
10544,non functional
17209,functional
10612,functional needs repair
52802,non functional
54572,functional
33930,functional needs repair
38811,non functional
56064,non functional
52754,functional
2429,functional needs repair
8169,functional
9666,functional
42192,functional
55037,functional
39917,non functional
42188,functional
44588,non functional
52125,functional needs repair
24710,functional
5537,non functional
8926,non functional
18077,non functional
36086,functional
19619,non functional
32191,functional needs repair
18680,non functional
27988,non functional
38694,non functional
26155,functional
35873,non functional
3219,functional
6550,functional
5935,functional
53236,functional
15368,non functional
48087,functional
733,functional needs repair
37723,functional
15858,non functional
30457,non functional
55476,non functional
22963,non functional
16115,functional
12260,non functional
44959,non functional
47600,non functional
49942,functional
35852,functional
29273,non functional
46559,functional
19443,functional
23150,functional needs repair
46185,functional
10508,functional
24390,functional
9817,non functional
27601,non functional
11749,non functional
18794,functional
34196,non functional
35288,functional
22109,functional
46453,functional
15282,functional
16082,non functional
15923,non functional
23794,functional
15417,functional
50237,functional
41424,functional
52218,functional
21103,functional
55996,functional
25761,non functional
58013,functional
55445,functional needs repair
16512,functional
28594,functional
11946,functional
25110,non functional
30047,non functional
9507,non functional
354,functional needs repair
26607,functional
11000,functional
17249,functional
3932,functional
2955,non functional
7674,non functional
5642,functional
46289,functional
33938,functional
6696,functional
19995,non functional
39440,non functional
24609,functional
44600,functional needs repair
16834,functional
17340,functional
48480,non functional
39635,functional
32085,functional needs repair
7747,functional
6107,non functional
34934,non functional
48189,non functional
44897,non functional
24776,functional
23095,non functional
46322,functional
7647,functional
35983,functional
36516,functional
19643,functional
52615,non functional
55147,non functional
55249,functional
46795,functional
47195,non functional
27310,non functional
43689,functional
13627,functional
47539,non functional
24260,functional
48790,functional
34924,non functional
38844,functional
21224,functional
15056,non functional
54946,non functional
15798,non functional
52927,non functional
490,functional
17120,non functional
27007,functional needs repair
43885,functional
11455,non functional
5804,non functional
11200,functional
45029,non functional
14119,functional
9075,functional
15548,non functional
14445,non functional
34682,non functional
4718,functional
36517,non functional
44538,functional
42541,functional
49519,functional
31454,non functional
39501,functional
5699,non functional
40543,non functional
40735,non functional
11919,functional
44495,functional needs repair
21193,non functional
2912,non functional
59061,functional
10541,non functional
32730,non functional
59192,functional
57967,functional
22850,non functional
28748,non functional
41948,non functional
13922,functional
18193,functional
32285,functional
9679,non functional
48213,functional
57627,functional
29692,functional
28342,non functional
38252,functional
45650,functional
52900,functional needs repair
2551,functional
43129,functional
15623,functional
33777,functional
32900,non functional
27057,non functional
45171,non functional
45192,non functional
48829,functional
32670,functional
15273,functional
57695,functional needs repair
2481,functional
8615,functional
23473,non functional
51373,functional
26610,functional
2948,non functional
2126,non functional
49171,non functional
10545,functional
11915,non functional
40134,functional
54612,non functional
12050,functional
32993,non functional
14341,non functional
19179,functional
52498,non functional
35641,functional
4632,non functional
50556,functional
21491,functional
2977,non functional
21658,functional
45909,functional
27541,non functional
58863,non functional
17458,functional
18814,non functional
31465,functional
38950,non functional
11286,functional
41651,functional
23218,functional
26334,non functional
53610,non functional
41487,non functional
54010,non functional
6093,non functional
30046,functional needs repair
25589,functional
12867,non functional
16792,non functional
41746,functional
33919,functional
4729,functional
20210,non functional
42561,functional
15534,non functional
55293,functional needs repair
52783,functional
17434,functional
44670,non functional
41728,non functional
27051,functional
2231,functional
48727,functional
14167,non functional
21404,functional
32141,functional
56820,functional needs repair
35220,functional
52010,functional
38234,non functional
50247,functional
55216,functional
28164,functional
12923,functional
51278,functional
19010,functional
21723,functional
55777,functional
52458,non functional
35922,non functional
52467,functional
20513,functional
58158,functional
38935,non functional
56378,functional
27880,functional
51892,functional
45537,functional
13528,functional needs repair
54170,functional
31942,non functional
33290,functional
33636,functional
54968,non functional
5944,functional
52407,functional needs repair
27422,non functional
47319,non functional
5676,non functional
34622,functional
19133,functional
8227,functional needs repair
15750,functional
56858,functional
47676,non functional
5130,non functional
50124,non functional
33821,functional
18742,functional
303,non functional
3446,non functional
28410,functional
13012,functional
16126,non functional
45360,functional
55862,functional
54249,functional
24806,functional
42622,functional
46650,functional
58715,functional
29846,non functional
28821,functional needs repair
49973,functional
9378,non functional
50807,non functional
1292,non functional
16516,functional needs repair
21456,non functional
14551,functional needs repair
29704,non functional
56019,non functional
8898,functional
31481,functional
24128,functional
53260,functional
36620,functional
26269,functional
57542,functional
43304,functional
28656,non functional
49123,functional
54167,functional
19494,functional
29183,non functional
40726,functional
43173,non functional
56929,functional needs repair
37936,non functional
50490,functional
41098,functional
9034,functional
29029,functional needs repair
47908,functional
35357,functional
56033,functional
58921,functional
43496,functional
19686,functional
6172,non functional
21078,non functional
25106,functional
54579,non functional
26886,functional
21848,functional
1634,functional
43011,functional needs repair
53422,functional needs repair
56030,non functional
55498,non functional
3656,non functional
34521,functional
14760,functional
28940,non functional
56420,non functional
16211,functional
23274,non functional
54919,non functional
51837,functional
48076,non functional
45843,functional
8788,functional
22999,functional
1392,functional
737,functional
55867,non functional
30948,functional needs repair
47822,functional
23313,non functional
36779,functional
43039,functional
39767,non functional
47028,non functional
46968,non functional
32911,functional
58135,functional
3871,non functional
54986,functional
47983,functional
54831,functional
4567,non functional
53770,non functional
2634,non functional
45048,functional
31618,functional
7384,functional
58854,functional
34792,non functional
754,functional
28711,functional
19943,non functional
57404,non functional
59080,functional needs repair
55333,functional
5016,functional
5607,functional
9708,functional
34796,functional needs repair
39253,non functional
40024,non functional
11251,functional
34651,functional needs repair
49885,functional
23321,functional needs repair
7862,functional
46018,functional
34702,functional
45075,non functional
9452,functional
57496,functional
13816,functional
1228,non functional
25059,functional
57372,non functional
47513,non functional
37881,non functional
30602,non functional
45748,functional needs repair
43362,non functional
56235,non functional
8737,non functional
28276,functional needs repair
16599,functional
15222,non functional
37478,non functional
27584,non functional
3045,non functional
5653,functional
54254,functional
55315,functional
17764,non functional
40238,non functional
47434,functional
33309,functional
39860,non functional
40107,functional
39474,functional
10918,non functional
17954,functional
17873,functional
31122,functional needs repair
8743,functional needs repair
54464,functional
49360,functional
208,non functional
39623,functional
18689,functional
28433,functional
58044,functional
37140,functional
33159,functional
14538,functional
57768,non functional
12311,functional
19268,functional
45280,functional needs repair
18310,non functional
26215,functional
36164,non functional
5586,functional needs repair
55405,functional
34800,functional
35280,non functional
398,non functional
23764,functional
34752,non functional
52753,functional
1983,non functional
25442,non functional
46313,non functional
8208,functional
41775,non functional
6021,functional
13990,functional
46276,functional needs repair
45570,functional
10766,functional
14615,functional
10449,functional
52396,functional
45245,non functional
55528,non functional
47050,functional
13976,functional
57698,functional
7672,non functional
46263,functional
9923,non functional
13760,functional
55936,non functional
55400,functional needs repair
43681,functional
25585,functional
49568,functional
37082,non functional
52450,functional
40682,functional
33111,non functional
15980,non functional
15909,non functional
32663,functional
41212,functional
41608,non functional
42976,non functional
14625,non functional
32322,functional needs repair
34416,non functional
55789,functional
17164,non functional
12643,functional
15210,functional
25756,functional
11586,functional
30797,functional
16818,functional
10148,functional
29384,functional
42656,functional
9471,functional
45513,functional
52988,non functional
23387,functional
7173,functional
48354,functional
29992,functional
38351,non functional
16136,functional
45867,non functional
1968,non functional
426,non functional
55674,functional
12888,functional
27661,non functional
20586,functional
42659,non functional
38682,functional
22975,functional
29672,functional
6948,functional
46757,non functional
37232,functional
34502,functional
39528,non functional
35864,functional
54072,functional
5816,functional needs repair
51495,non functional
10127,non functional
28526,functional needs repair
38038,functional
52634,functional needs repair
57299,non functional
30352,functional
7859,non functional
37900,functional
38411,non functional
16711,non functional
38477,functional
44875,functional
37095,functional
2925,functional
1429,functional
8402,non functional
12213,non functional
12521,functional
58992,functional
16858,non functional
45061,non functional
1666,functional needs repair
10394,functional
20872,non functional
28320,functional
48113,functional
17687,functional
691,functional needs repair
28962,functional
30151,functional
1515,functional
47449,functional needs repair
15456,functional
58457,non functional
5467,non functional
58556,functional
660,non functional
32166,functional
35254,functional
31386,functional needs repair
11650,non functional
46864,functional
21532,functional
43141,non functional
41735,non functional
32659,functional needs repair
19036,functional
1335,non functional
40527,functional
25263,functional
36090,functional
48939,functional
13285,non functional
52717,functional
57425,functional
47647,non functional
14465,functional
53340,non functional
36844,functional
25231,non functional
21618,non functional
53331,non functional
47061,non functional
38445,non functional
48545,non functional
14249,non functional
4226,functional
43918,functional
50486,functional
21529,functional
37107,functional
35312,non functional
21748,non functional
55291,non functional
42489,non functional
56840,functional
2587,functional
39080,non functional
14884,functional
31368,functional
2620,functional
46487,functional
58487,functional
56965,non functional
32478,non functional
37237,functional
9096,non functional
56016,functional
37788,non functional
10597,functional
9894,non functional
7600,functional
5788,non functional
18934,functional
2787,functional
24120,functional
8700,non functional
53761,functional
43313,non functional
951,functional
41574,functional
18935,functional
38080,non functional
15920,functional
9466,non functional
32652,functional
56523,functional
45979,functional
12291,non functional
40668,non functional
12381,functional needs repair
11381,functional
48825,functional
10519,functional
18887,functional
42555,functional
24987,functional
23862,non functional
10007,functional
32421,functional
9423,functional
49272,non functional
26439,non functional
6352,non functional
24583,non functional
47022,functional
28425,non functional
40272,functional
13498,functional
15924,non functional
47593,non functional
19548,functional
35262,non functional
22653,non functional
2703,non functional
49156,functional
22153,non functional
46698,functional
27443,functional
599,functional
36339,non functional
16259,non functional
14158,non functional
24939,functional
16224,functional
55116,functional
38266,functional
55727,non functional
52388,functional
30417,functional
50953,non functional
58479,functional
20925,functional
88,non functional
47968,non functional
49049,non functional
58945,non functional
46624,functional
46949,functional
39803,non functional
46241,non functional
12627,non functional
5585,non functional
16898,functional
29599,functional
37558,functional
1650,non functional
20790,functional
4999,non functional
28042,non functional
17496,non functional
42507,functional
37339,functional
26974,functional
10446,non functional
38448,functional needs repair
49938,functional
16214,functional
35218,functional
8152,functional
16798,functional
13301,functional
52516,functional
439,functional
42201,non functional
24781,non functional
31608,non functional
38818,non functional
33062,non functional
28259,functional
27846,functional
24790,functional
41664,functional
24332,functional
25575,non functional
31058,non functional
40590,functional
50752,functional
37047,functional
13533,functional needs repair
39509,functional needs repair
58942,non functional
2734,non functional
23527,functional
42666,functional needs repair
46502,non functional
41818,non functional
20252,functional
33386,functional
44689,functional
17263,functional needs repair
5866,functional
34379,functional
55821,functional
54410,functional
42559,non functional
34798,non functional
10698,non functional
20727,functional
20074,non functional
54439,functional
3991,functional
43242,functional
34747,functional
7767,functional
22271,functional
52036,functional
30766,functional
31114,functional
56585,functional
54882,non functional
35645,functional
51724,non functional
57081,functional
34279,non functional
292,functional
2709,non functional
57780,non functional
46540,non functional
34183,functional
45164,functional
48873,non functional
20536,non functional
33074,non functional
1773,functional
25982,functional needs repair
49631,non functional
28123,functional needs repair
30266,non functional
19578,non functional
22384,non functional
48178,non functional
21328,functional
24056,non functional
44403,non functional
24799,functional
3509,functional
10026,functional
27610,functional needs repair
16236,functional needs repair
57824,functional
28819,functional
15156,functional needs repair
51586,functional
8602,functional
44161,functional
38561,non functional
16359,non functional
3537,non functional
24341,functional
35276,non functional
2287,functional
13741,non functional
27278,non functional
34662,functional
9709,functional
30499,functional needs repair
47950,non functional
9869,functional
43839,functional
3282,non functional
43594,functional
14468,functional
14952,non functional
49694,functional
30096,non functional
36499,non functional
21034,non functional
18322,non functional
21946,functional needs repair
29887,functional
6634,functional
39472,functional
44083,functional
9696,functional
39564,functional needs repair
47119,functional
53648,functional
14463,functional
53536,non functional
19571,non functional
30359,non functional
13312,functional needs repair
38386,functional
28138,non functional
16734,non functional
46063,functional
43049,functional
13518,functional
16844,non functional
49680,non functional
30745,functional
3580,functional
27190,functional
57234,non functional
55411,non functional
39015,non functional
25833,functional
16571,non functional
7018,functional needs repair
54273,non functional
58114,non functional
19037,non functional
40332,non functional
4647,functional
33253,non functional
8913,non functional
57527,functional
375,non functional
17599,functional
44616,functional
28544,functional
57928,functional
17342,functional
23577,functional
36323,non functional
43095,functional needs repair
16208,functional
47561,non functional
54212,functional
1356,functional
14905,functional
37203,functional
33823,non functional
9123,functional needs repair
35945,functional
41148,functional
29106,functional
4745,functional
20874,functional
47937,functional
153,non functional
40561,functional needs repair
15724,functional needs repair
25250,non functional
42647,non functional
48235,functional
35363,functional
28933,non functional
33164,functional
17859,non functional
9484,functional
37481,non functional
14692,functional needs repair
12874,non functional
39074,functional
19587,functional needs repair
21259,functional
38243,non functional
51468,non functional
28778,non functional
31526,non functional
24937,functional
54810,non functional
49972,functional
21236,functional
12969,non functional
54668,functional
19183,functional
17232,functional
55595,functional
48744,functional
23279,functional
46004,non functional
56548,functional
55178,functional
11055,functional
2,functional
52254,functional
42606,functional
28332,functional needs repair
50167,functional needs repair
41983,non functional
32520,functional
24883,functional
50179,non functional
13667,functional
47670,non functional
11345,functional
26956,functional
17885,functional needs repair
50638,non functional
32411,functional
7728,functional
9232,non functional
23392,non functional
39436,functional
38586,non functional
53249,non functional
19113,functional
33913,non functional
48614,functional
1944,non functional
18003,functional
27638,non functional
28797,functional
46381,non functional
25470,functional
39413,non functional
43221,functional
9745,functional
21539,functional
7908,functional
51726,functional
8089,functional needs repair
29834,functional
33681,functional
32217,functional
9917,functional
55982,functional
52775,functional
15918,functional needs repair
41448,functional
47167,functional
7620,non functional
52088,functional
8891,non functional
26603,functional
38366,functional
45447,functional
26932,non functional
27770,functional
18532,functional
8121,non functional
36421,functional
55243,non functional
36617,functional
55944,functional
29698,non functional
16333,functional
58041,functional
7907,functional
36308,functional
3028,functional
51035,functional
17121,non functional
33417,functional
13576,non functional
53834,functional
46377,functional needs repair
9197,functional
14182,non functional
26871,functional
41476,non functional
45133,functional needs repair
31649,functional
57972,non functional
17432,functional
14876,functional
41883,functional
10833,functional
21755,non functional
28705,functional
17219,non functional
18616,non functional
5660,functional
5394,functional
41120,non functional
21334,non functional
12497,functional
58628,non functional
1201,functional
59086,functional needs repair
26452,non functional
30588,non functional
45150,functional
42395,non functional
10618,functional
29356,functional
19256,functional
58170,non functional
44845,non functional
18761,non functional
49294,functional needs repair
46719,functional
53950,non functional
29762,functional
26542,functional
39338,non functional
25909,non functional
29325,non functional
59186,non functional
22103,functional
55359,non functional
14818,functional
31393,functional
24131,functional
49981,functional
33372,non functional
9754,functional
57432,non functional
45459,functional
17338,functional
43655,functional
4372,non functional
23127,functional
51622,functional
14836,functional
46081,functional
45510,non functional
15777,non functional
7645,non functional
30207,non functional
24225,non functional
3383,functional
27416,functional needs repair
17922,functional
48528,functional
14855,functional needs repair
128,non functional
53601,non functional
51663,non functional
38148,functional
24615,functional
34146,functional
58202,non functional
44803,functional
6333,functional
27477,functional
42715,non functional
4856,non functional
34302,non functional
15421,functional
13436,functional
22144,non functional
42053,non functional
37789,non functional
44466,functional
26097,functional
36145,functional
55103,functional
48719,functional
8717,functional
58901,functional
25409,non functional
3118,functional
25518,functional
13508,non functional
32,functional needs repair
26901,functional
14091,functional
6684,non functional
44842,functional
21865,non functional
41674,non functional
35938,functional
7537,non functional
17673,functional
19761,functional needs repair
17313,functional
9308,functional
21884,functional
10113,non functional
17304,functional needs repair
21435,non functional
57302,non functional
57150,non functional
31011,functional
35943,functional
28894,non functional
1597,non functional
53569,non functional
32286,functional
25086,functional
44212,functional
45606,functional
7562,functional
23867,non functional
27831,functional
33798,functional
48194,functional
14041,functional needs repair
40421,non functional
56885,functional needs repair
48617,functional
54312,functional
42159,non functional
47870,functional
47327,functional
52106,non functional
47326,functional
16650,functional
42351,non functional
14522,functional
13653,functional
13103,non functional
31836,functional needs repair
34772,non functional
14518,functional
26642,functional
44194,functional needs repair
52240,functional
24855,functional
20667,functional
57572,functional
44337,functional
1501,functional
25313,functional
35323,functional
13207,functional
45917,functional
1045,functional
19332,non functional
43294,functional
2812,functional
30639,non functional
53486,non functional
7021,functional
27722,functional
34497,functional
6320,functional
36135,non functional
30722,non functional
10614,functional
24931,functional
33119,functional
18418,functional
58120,functional
42964,non functional
14677,non functional
6323,functional
13510,functional
58564,non functional
52335,functional
9695,functional
25873,functional
36354,functional
31562,functional needs repair
37439,functional
42369,functional
51218,functional
41723,functional
18134,functional
16838,functional
1432,non functional
21225,non functional
3682,functional
51658,non functional
28192,functional
5117,functional
11498,non functional
22516,non functional
32802,functional
55481,non functional
41565,functional
27735,functional
15815,functional
53881,functional
51488,non functional
9579,non functional
56689,non functional
44906,functional needs repair
7967,non functional
19914,functional needs repair
22582,functional needs repair
7871,functional needs repair
25631,non functional
45391,functional
2329,functional
25091,functional
39900,non functional
16039,functional
16809,functional needs repair
19796,non functional
43372,non functional
42350,functional
16349,functional
9226,functional
40495,functional
39308,functional
37752,functional
36419,functional
52751,non functional
56624,functional needs repair
20557,functional
40676,functional
47546,functional
39030,functional needs repair
11085,functional
48133,non functional
20715,non functional
55452,functional needs repair
56714,functional
55433,non functional
40176,functional
17740,functional
6486,functional
18034,functional
934,functional needs repair
15420,functional
44585,functional
32251,functional
58679,non functional
18795,functional
50628,non functional
50572,functional
47382,non functional
34995,functional
16163,non functional
52368,functional
50688,non functional
45929,functional
54393,non functional
26964,non functional
16017,functional
8337,functional
45445,functional
17808,functional
47026,non functional
17393,non functional
31654,functional
53760,functional
58412,functional needs repair
16630,non functional
16296,functional
12034,functional
55390,functional
24379,functional needs repair
23323,functional needs repair
48206,non functional
53831,functional
55951,functional
16143,functional
477,functional
33004,non functional
56189,functional
58840,functional
52768,non functional
1204,non functional
14242,non functional
2691,functional
30374,functional
4287,functional
24429,functional needs repair
27932,functional
1216,functional
6141,non functional
10884,non functional
4271,functional
36307,functional
52665,non functional
15226,functional
31789,non functional
16,non functional
38910,non functional
31173,functional
42030,functional
891,functional
18756,non functional
38483,non functional
48350,functional needs repair
2544,functional
29011,non functional
38214,functional
46920,functional
19565,non functional
48275,functional
1469,non functional
1194,non functional
32524,functional
1909,functional
37573,non functional
48626,non functional
26525,functional
22322,functional
2942,functional
21356,functional needs repair
17133,non functional
3543,non functional
13940,functional
34065,non functional
33515,functional
30661,non functional
20052,non functional
30690,functional
40416,functional
18219,functional
53028,non functional
33998,non functional
38426,functional
36875,functional needs repair
2909,functional
18541,functional
12860,functional
419,functional
13678,functional
42183,functional needs repair
22791,functional
28688,functional
36088,non functional
6001,functional
33576,non functional
43662,functional needs repair
23032,functional
9406,functional needs repair
5522,non functional
59033,functional needs repair
44355,functional
8151,non functional
4414,functional needs repair
52677,functional
32260,non functional
22987,functional
38147,functional
36398,functional
31611,functional
36872,functional
18725,functional
23986,non functional
26582,functional
54532,functional
31788,functional
1646,functional
50159,functional
45422,functional
2323,non functional
29770,non functional
52462,functional needs repair
11785,functional
35256,functional
40537,functional
15405,functional
31658,non functional
567,functional
59006,non functional
26234,functional
32765,functional
46090,functional
54327,non functional
9091,non functional
6838,functional
14045,non functional
56834,non functional
41383,non functional
55875,functional
14040,functional
25828,non functional
8858,non functional
44467,functional
2730,functional
10158,functional needs repair
52137,functional
26923,non functional
53651,non functional
41468,functional
10842,functional
51116,non functional
19414,non functional
26051,functional
29617,functional
54176,non functional
16854,functional
21340,functional
56758,non functional
36561,non functional
33942,non functional
56762,functional
40753,functional needs repair
3638,functional
30970,functional
3187,functional
48256,non functional
54185,functional
10,functional
56516,functional needs repair
19525,functional
33732,non functional
38610,functional needs repair
33557,non functional
47577,functional
23301,non functional
35267,functional
28294,non functional
24751,non functional
57070,non functional
1971,functional
9534,functional
39724,functional
31219,non functional
30956,functional
15203,functional
56960,functional
37183,functional
48129,functional
4285,functional
11299,functional
28806,non functional
44765,non functional
31667,functional
31329,functional
55995,non functional
33087,functional
38787,functional
59182,functional
40335,non functional
15811,non functional
9841,functional
43657,non functional
57006,functional
54635,functional needs repair
55557,functional
1827,functional
38707,non functional
57079,functional
16426,functional
21592,non functional
37811,non functional
21330,non functional
45288,functional
58619,functional
47548,functional
2460,non functional
52209,non functional
53724,functional
38187,non functional
48832,functional
1039,functional
23193,non functional
27247,functional
37864,non functional
991,functional
55658,functional
5558,functional
47165,non functional
56818,functional
20090,functional
55790,non functional
11134,functional
24600,functional
15006,non functional
44680,non functional
10768,non functional
29176,functional
3434,functional
15868,non functional
54011,non functional
12075,functional needs repair
38265,non functional
37477,functional
23970,functional
35555,functional
49492,non functional
39961,non functional
21360,functional
5324,functional
23588,non functional
25077,non functional
7041,non functional
48045,non functional
30926,non functional
33098,non functional
793,non functional
29442,non functional
11398,non functional
58878,functional
17103,non functional
41789,non functional
48967,functional
10365,functional
3826,functional
17719,non functional
23878,functional
52246,functional
47266,non functional
19605,non functional
55225,functional needs repair
51275,functional
18683,non functional
41033,functional needs repair
46290,non functional
14844,functional
47123,functional
51929,functional
8022,non functional
37859,functional
14840,functional
15593,non functional
52511,non functional
17861,non functional
25986,non functional
12552,functional
21663,functional
41325,functional
30373,functional
50348,non functional
50356,functional
36750,functional
17154,functional
52985,functional
54718,functional
32009,functional
23147,functional
31366,functional
46141,non functional
46206,non functional
21303,non functional
39614,non functional
46078,non functional
55117,functional
42704,functional
28354,functional
31221,non functional
36408,non functional
58941,functional
57948,functional
3159,functional
44750,functional
43504,non functional
37618,non functional
30089,functional
36920,functional
57339,functional
10587,non functional
16010,functional
49388,non functional
48781,functional
17078,non functional
40359,functional needs repair
10615,functional
35717,functional
57865,functional
5793,functional
24603,functional
46454,functional
32130,functional
47588,non functional
35788,non functional
6428,functional needs repair
43243,non functional
10074,functional
30180,non functional
20680,functional
48882,functional
19900,functional
17631,functional
27041,functional
30892,functional
48766,functional
7054,non functional
24361,functional
29641,functional
2710,functional needs repair
15083,functional
6849,functional
4850,non functional
44805,functional
44046,functional
10460,non functional
12515,functional needs repair
34272,functional needs repair
46416,functional
9375,functional
31389,functional
23125,functional
40608,non functional
28473,functional
18442,functional
27804,non functional
22800,non functional
18263,functional
25252,non functional
42070,functional
35865,non functional
41545,functional
16063,non functional
32845,functional
53003,functional
7949,functional
6840,functional
15268,functional needs repair
5800,functional needs repair
36500,functional
25155,non functional
38415,functional
56051,functional
36173,functional needs repair
31660,functional
19041,non functional
14856,non functional
36657,functional
28333,non functional
30169,functional
950,functional
37080,functional
35428,functional needs repair
47537,functional
20489,non functional
58411,functional
22992,non functional
16060,non functional
51869,functional
9707,functional
14250,functional
30268,functional
57045,non functional
28788,functional
49793,non functional
32930,functional
21717,non functional
57992,functional
38475,functional
58468,functional needs repair
41621,functional
54689,functional
9971,non functional
47191,functional
34979,functional
15349,functional
10671,non functional
9010,functional needs repair
31632,non functional
54812,functional
13683,functional
5245,functional
32177,functional
45396,functional
26571,functional needs repair
16332,functional
52945,functional
47906,functional
55796,non functional
4794,functional
36953,functional
13547,functional
56212,non functional
34233,non functional
36134,non functional
53078,functional
999,functional
24207,functional
36993,non functional
58015,functional needs repair
19065,functional
22981,non functional
30345,functional
4195,non functional
39730,non functional
50366,non functional
33463,functional
21620,non functional
16494,non functional
4909,functional
31508,non functional
50404,functional
49847,non functional
11970,functional
48503,non functional
57387,functional
26001,functional
53354,functional
16677,functional needs repair
4355,functional
